period,destination,city,purpose
2019/11/2-2019/11/3,Shanghai,Shanghai,inspection
2019/11/4-2019/11/5,Shanghai,Shanghai,2nd China International Import Expo
2019/11/10-2019/11/12,Greece,Athens,official visit
2019/11/12-2019/11/14,Brazil,Brasilia,the 11th BRICS summit
2019/12/17,Hainan,Sanya,ceremony for the Shandong the first China-made aircraft carrier
2019/12/18-2019/12/20,Macao,Macao,ceremony for Macao return 20th anniversary
2020/1/17-2020/1/18,Myanmar,Naypyidaw,official visit
2020/1/19-2020/1/20,Yunnan,Yunnan,inspect military in Yunnan
2020/1/19-2020/1/21,Yunnan,Kunming;Tengchong,inspect Yunnan
2024/9/10-2024/9/13,Gansu;Shaanxi,Tianshui;Lanzhou;Baoji,inspection
2024/10/15-2024/10/16,Fujian,Zhangzhou;Xiamen,inspection
2024/10/22-2024/10/24,Russia,Kazan,the 16th BRICS Summit
2024/10/17-2024/10/18,Anhui,Anqing;Hefei,inspection
2024/11/4,Xiaogan,Hubei,inspection of an airborne corps of PLA
2024/11/4-2024/11/6,Hubei,Xiaogan;Xianning;Wuhan,inspection
2024/11/13-2024/11/16,Peru,Lima,the 31st APEC and state visit of Peru
2024/11/17-2024/11/21,Brasilia,Brazil,G20 Summit and state visit of Brazil
2024/12/17,Hainan,Sanya,gave speech on Hainan Free Trade Port
2024/12/18,Macao,Macao,the 25th anniversary celebrations and inspection tour